ID;Owner;Artist;Title;Duration;URL;Lyrics;Genre
343069861;460611;"Полина Гагарина";"Immortal feeling (балет ""Великий Гетсби"")";151;http://cs1-15v4.vk-cdn.net/p27/23b5ab08c19f3c.mp3?extra=Ozb9nfZz5_n2q1lb6gz5QOClSyC2vPjJbcxXS7teiEsmWgL-2-BG43ftF1vHhDrpCeRZZGqCD8amuXJyosSGpK2GuGtYPk8;;9
340681089;460611;"Мульт ""Анастасия""";"Once upon a december";214;http://cs1-36v4.vk-cdn.net/p21/355e9af9dda387.mp3?extra=h2Ci5GyiQVLQoTzhpylwdHYYQD8Rgrtmm_6Wt9nWOWMVvVQbxKrnKEZWBbrSgVjZQ_oLA7d_tptNaQziTyYSaHVvLFh2DvE;25145;18
336522741;460611;"Мария Каллас";"3-я Ария Далилы из оперы  К.Сен-Санса ''Самсон и Далила' Mon Coeur s'ouvre a ta voix";319;http://cs1-36v4.vk-cdn.net/p8/0709bbd4fac0d4.mp3?extra=zY3WsS3P8rvzieU-our1ob7adO1QAcyi_pN9tYuK443R9PJ7Fu6VZ9jElSOf6nRtPhxz4CllOgCDlNbqhsI5p_goQW27nCQ;469559;18
336332313;460611;"Puccio Roelens";"Caravan (OST Тринадцать друзей Оушена)";208;http://cs1-26v4.vk-cdn.net/p18/d2086a8a2a2845.mp3?extra=tqJET_tY4L865n3xAN761jv9_wdsL4Hm3nQppWwlkIPqmRnF2g-HGKky7ZRPpiEPCwMzITQ_gX0Sy9t_wDQYYwhUtJDnVYQ;107258546;2
330756522;460611;"Meryl Streep";"Last Midnight (OST: Into The Woods)";88;http://cs1-46v4.vk-cdn.net/p10/7c1b1e42f8a220.mp3?extra=GH_-00i3TWvXNQ1b4CpFIUvaAKzF-3m5MU6m5Y3RDGcKl5GUiIMAZo1o2adoJy3RlmC2OH-Z8xNqX7VeJeRnawoiAnipOgI;210716554;2
314796470;460611;"Машина Времени";"Морской Закон";238;http://cs1-36v4.vk-cdn.net/p24/4b4d3d1d31195a.mp3?extra=SgXcA0816k6OETP_gF2RiUQb_N8LiFRSaIM-MHPabe61IxxQmhONRQugYk5fXmCOAitinWMLq_GO0jHPe9qEh3KNIdP11As;47287;1
314044354;460611;"Наутилус Помпилиус";"Мы лежим на склоне холма..";290;http://cs1-40v4.vk-cdn.net/p23/9c3e6d7bd9904f.mp3?extra=j31XjeV56Ct5KFP2m60afUtS3OkLWdHbUeZ0FKtnTe77_0zaBTpFG6Du4aujnb4srbXnsiYNHyfa2iw81unuspaupjtSO9c;12903145;18
311204901;460611;"Луи Армстронг";"Hello Brother";211;http://cs1-32v4.vk-cdn.net/p5/e9ad9df162d964.mp3?extra=UvBE7eo9P--UhxeOIMLLUl2SnoAHC4-NE_I5quPNqRThR8dfthHxqXu7KUjH9yy164jbkvvSpXchLG992De4pixhF5vs27Y;1902507;18
302580095;460611;"Jefferson Airplane";"Somebody to Love";180;http://cs1-50v4.vk-cdn.net/p4/e01b1438f62f21.mp3?extra=VD6ktJE1v3N1pvPl_EQOVj0LYEt4ESO2i-NT3moSj3GrU5LZVvbzPZgfmynvn-D1NHTng4xzRSxZO3eUsA9wOkoGDcQKtq0;167507;1
297131447;460611;Shivaree;"Goodnight Moon";244;http://cs1-37v4.vk-cdn.net/p5/0c9b702d4d1a86.mp3?extra=0g5DSokaZsrQkRo4VrcHmnkBZOMdJakkBTMYRZp4JEPxk30IoA6et143UYL54pMthmxtJubShHjrubK3YuBjOULeEbjFXsk;21312123;2
297112869;460611;"Wanda Jackson";Crazy;166;http://cs5375.vk.me/u119733107/audios/6f8e34f3751d.mp3?extra=txNBqTnowh-E_eyAri4w-4vkO-PJiLVui-kjrhahlNf-qzs-QeMP7YPN3UViOinGJqIZBa4lc1Z0Uw0_faidyvjBpQlL2gg;;18
295772661;460611;"Tyler Ward &amp; Lindsey Stirling";"Thrift Shop";224;http://cs1-51v4.vk-cdn.net/p10/a606cc8d423629.mp3?extra=T0sRDB9Ni_xovGl_tT3OZkCsqG2JBgcY-doa2Ye2K3w8riKzIe3Z81B3zMR-mauNTGg_vc4qj5Ydtd7bjbYRUyAP-xmLNkM;60205440;18
289979327;460611;Cher;"Welcome to Burlesque (минус ориг)";165;http://cs1-35v4.vk-cdn.net/p17/534d59f74ef124.mp3?extra=5wCPAnYXxbO4MxCP_CMzz6jYcnPe7Gq7gCKQ9B8qFNCfoV0cpwg2NFfDJGVZ16eerZ2SUGRd48nE5YyLKIsuw4-qsJgpE10;9953452;18
289682862;460611;"David Poe";"The Elephant";232;http://cs1-30v4.vk-cdn.net/p6/77be9eecae85df.mp3?extra=6NUV0khpRA5JuuxYu6avq3XazfYUMIxBfJpyPC4SQWUKRxQPW1PFks7xezer_sK9K8eH5rIZbNcovRHwPXi8LA9WkuTkzug;;18
286983590;460611;"П.И. Чайковский";"""Пиковая дама"", ария Германа: ""Что наша жизнь - игра""";134;http://cs1-18v4.vk-cdn.net/p33/0ccec419943859.mp3?extra=bhBuV-jXA44uuMkcDWkKfIC2gAW9L6go8ZR2NKKNthkiTVxhalcROJZyesRPz6l5gstvO-LwchUgYG-loPgYJls1jVBF3uM;7954876;16
286305829;460611;Irma;"Песня из сериала кухня ))";176;http://cs1-31v4.vk-cdn.net/p13/3271b5935e0ac8.mp3?extra=4bFlnxdwODmZz0tGKVCLcILyDbHWzC0m9zgmzeyz-f1MUQsMW0UEx798naQLY5tMpcubc9b_Wa3v0rjQehXs1CRSLqQo2Rs;110963178;18
286304864;460611;"Dionne Warwick";"Walk On By";177;http://cs1-36v4.vk-cdn.net/p15/9cebecadc23713.mp3?extra=hZ51Wdw-ognBR7IfeoHxdO1LDyw8qlSzszgh_z0Nfk3rBSjxXxcFTKg6ZUArFFfqu7Et8_WN1v6ec3vUgN3YMC4KEJjXWUE;4811235;18
286304775;460611;"Bil Haley &amp; His Comets";"Rock around the clock";135;http://cs1-19v4.vk-cdn.net/p8/a58d7e4678e874.mp3?extra=c2wIAThcuB7YAzigncvI1jy8FCI2voxxx0Yogh2Z8qEr4XHPJJ-sdUt8uoYSU_RSXEV_yilf9BbBnFKsu2DcRRi6sCUUyQA;106738999;18
281979457;460611;"Corona (OST ""Один день"")";"The Rhythm Of The Night (музыка 90-х)";261;http://cs1-33v4.vk-cdn.net/p22/7eb4ea2191aee2.mp3?extra=86tyiWEKbxmZ4wQgv0QClnJ6N70grQhnCsdkEaUhdbIxvLldIhbaOyPUW_1JjY4RcdhhXsYaVtw8DazroHDv3ye-9HQCrdo;6957417;2
281979438;460611;Cascada;"The Rhythm Of The Night (Video Edit)";202;http://cs1-49v4.vk-cdn.net/p14/ec87e4f4cb05d6.mp3?extra=CJzWtPcZH1Od-9icSd9HX1t4jbMSjKqMTjHFiM6AUkr111K3d_ktJUBv3osjOhSiK_lDwaI6teQNPim3CG--ujSIXRU2Df4;25806632;2
279601630;460611;"Andrew Lloyd Webber &amp; Cats Original Broadway Cast Recorning";"Macavity: The Mystery Cat";417;http://cs1-19v4.vk-cdn.net/p11/9e6fa8b6394b04.mp3?extra=u-FTA1NK5dwYrqBj82G9UU6DzXnPdnAWbeC_3sPkFk5wFDXqMxg-Ym7-h6-UGrzlqg3IOMMhZMiGVkWsOMlsVs0jSYq_05Q;4493262;2
277049403;460611;Breach;Jack;313;http://cs1-48v4.vk-cdn.net/p11/a3ece886232b4d.mp3?extra=Z-z25uQK57oDVJQslJReNrw66Q7SdEAzAblN2Qoef7RG1C8KN69FD4NK2J4THsKzytNQJ9J5xUgTbi4KtTaFhG_MkoDzjjM;80656710;18
277049181;460611;"Macklemore &amp; Ryan Lewis";"Thift Shop (feat. Wanz) JellyLim rmx";218;http://cs1-42v4.vk-cdn.net/p9/ada3acd940f806.mp3?extra=Omsevo5ucfLSyAo2IQxmKuVP9Us5dqjWdxLme5wtENS9UbzcF1J_yxgM6L5hnCadJ0t3Q9BaV3G2MoEqhKeNCo4DjkMqMi0;92373309;
273955854;460611;"Robin Thicke ";"Blurred Lines (feat. T.I. &amp; Pharrell)";263;http://cs1-45v4.vk-cdn.net/p11/d7053de0a4540b.mp3?extra=Yezq6YGKJMXSniTu3P8m4Mj8evy_jmzwMqYikgV-0HRf-Z-NC3MvX3UUSLfbmSk5DME6ayvJRC-IbOBjmrb42aRjC_1mce0;75517100;
274246185;460611;"Avicii ft. Dan Tyminski";"Hey Brother!";257;http://cs1-43v4.vk-cdn.net/p11/566c69d06d92ad.mp3?extra=RO7MJmzl1FSgMfK2CiqWv6X1jatw6jQTkQykk9Ugp9wV9DqMpuJxqczqg9-AYSDEXGMn6cHTIgIbka1_yk3SgCl66UlEviY;85399543;
273956310;460611;"2 Chainz";"I'm Different";207;http://cs1-36v4.vk-cdn.net/p9/c5bc0f9f21a974.mp3?extra=CiQnhj4htliom20WOyX4-VO3eaIgiEZtDlx4_lWCl6nQ4so9ApLWpFegq1HwpU6zEbBKpOi-JGLww9xPRtksNKcwsSp0X0M;32493346;3
273372494;460611;"Martin Garrix";" Animals (Radio Edit)";209;http://cs1-48v4.vk-cdn.net/p1/6392b04287b2b0.mp3?extra=tnlXxZRJb1gBtEIv9eKkMWDQ83Cds82tsn_H_jIRCbfLGiEd43u6Ghsx-32GQD85lKFTlBmgsZncvQ9y2e53qj4BFYzQHRg;113610893;5
