ID;Owner;Artist;Title;Duration;URL;Lyrics;Genre
342191625;63233214;"Linkin Park ft Steve Aoki";"A Light That Never Comes";235;http://cs1-44v4.vk-cdn.net/p7/f47b1e7d67ad84.mp3?extra=1-ByZlKJwaDb415PkX3RCz-xgJMjKJbS5PVeXQpMN7SA5KSIX9QrwghAXC3EyVnOp1WDLhLYtLeYrmw69lkNZomr8t8WsEMfbw;116617601;18
336572611;63233214;"The Centuries ";Absolution;236;http://cs1-40v4.vk-cdn.net/p15/f2efe6707f075b.mp3?extra=XUTBpMPFZ67PrjVT_jpVYRe6dUW5tWG7-cx7NdQkL5D2iK-_ItZ_zTVwC0Fgt-rWEsll7gr2ZoAff5TwauIp0VzNJQGRsyqaNA;;9
336571210;63233214;"Linkin Park ft. Steve Aoki";"A Light That Never Comes";237;http://cs1-42v4.vk-cdn.net/p19/e007a42263d2cb.mp3?extra=mCAtGpyXQPnIOy5SRbXHYRkLj7XfkjimWVafGjy7lfL88879zqxQ7cYuwHEzNA6fYyLCNvpeVp3jba6FiLoHcCnrwFNM9bbJbw;117441725;5
336560384;63233214;"Tinea &amp; Chris ";"Can You Feel My Heart (Bring Me The Horizon cover)";245;http://cs1-19v4.vk-cdn.net/p29/1638026ed01c23.mp3?extra=qrn0Iwzm-TYJOD0miaXYlmS5aYxNqalwWqY55VjBWaOTuIAyVn0GHA_4Zf55iKUg0OdAXmLeA0gc-BE6e2hu3FBdrd6AjOdjkA;;9
328351368;63233214;Eluveitie;Divico;327;http://cs1-21v4.vk-cdn.net/p21/d4a5f588260fea.mp3?extra=SE-0AwULfUMWaXtWhxn79WFBJt84RILZlmSgfv_Jd8VeVhrnFfPPEYLVZ-7sj1DuOmtDBdwdn0kj1YmTOfvFAhiQqtm5KVN6ig;55013333;18
328351040;63233214;Eluveitie;"Of Fire, Wind And Wisdom";185;http://cs1-35v4.vk-cdn.net/p22/660e1f0121e651.mp3?extra=a_4JFNcFpMdsbVkzLIebdb1T39oW9a_KET6hrT_Dr0OKT3ejgQShI8_ZqXuCj5ZQQk_BoHnLgpgzLwrqzVwexUJL4YlMHyMT7g;10839578;18
328351000;63233214;Eluveitie;"A Rose For Epona";296;http://cs1-29v4.vk-cdn.net/p21/3b8f7278de38f2.mp3?extra=jfUe5skLwUA7CW2EoaU7cDUc5OhBCXzKkVk9E5ktHIGT6HzuH1osvESLgVm3Ng2j8FrSkHopN0OeykQyazi3HBlQUh85idAoTg;90892031;18
328350222;63233214;Eluveitie;"The song of life";241;http://cs1-45v4.vk-cdn.net/p10/51976f3bb8ed88.mp3?extra=Pv0h0kFCMLfIO6RrgU7PnFcOWhyaTXcpzpTiljHEgt-y1POSh0NmTXSYn-1_K6MC3B05atTEjO6JKQHqFYO2FOd3VWvZkCo1Qg;775581;18
328349543;63233214;Eluveitie;"The Dance of Victory";324;http://cs1-36v4.vk-cdn.net/p8/8bc4ca760c3bd9.mp3?extra=pxQFI1BKqb4xEq1ETqBXz-Ya49hY1zwcpAgWVc9Xj-Y7eYyF2UQ5HJPy-Omd9CoCZx1K-UQ7vGXGm2tl_XYXIJarYduZ2MOf7A;3047585;18
328349351;63233214;Eluveitie;Nil;223;http://cs1-31v4.vk-cdn.net/p11/9a9111e28cbc4c.mp3?extra=8DmezOJol6YJKStWJ1_oM7qwkLfDgblV1s5ULE46qfTHIDSBDoBcXbwqlV7ziAzORBfApncrCpLolK2BoI_b6XQ2bH_ETi4v2g;7913586;18
