ID;Owner;Artist;Title;Duration;URL;Lyrics;Genre
355997046;975;"Ed Sheeran";"Thinking Out Loud";281;http://cs1-45v4.vk-cdn.net/p7/965188f0e20698.mp3?extra=UEPUrPgZXyppMkVl5H1axyvqZh1fBdDqDGXE9h3oRZxmugH66qNrlAcR6GhtqqJK8CJCY6CaD6UW8yKsf5zYB2J5V_0;180252931;17
355994436;975;"Sam Smith";"Make It To Me";160;http://cs1-50v4.vk-cdn.net/p9/eaaf7917604c33.mp3?extra=QK1_gmxSL9Zk5IPjkejdlmv6UwEaQMrcfJ_9Zf9EBMEItAM7igbbMyjdhKrc-mfkxmM4AbFWHOqAMyJzsHUXpZgcn-M;144228390;9
355913361;975;"We Are Harlot";"The One";203;http://cs1-33v4.vk-cdn.net/p6/7153bbd6ad5c4b.mp3?extra=WVCYyx1vlS9xQ16gyYqLF7w__kfw4BV9QEimaSo5lBGn3iXk8fIDKrknKi0W3dzVzlUuNxP6gN_LxH9TGqvYJt0lj4w;;1
355184339;975;"Jon Hopkins";"Open Eye Signal (George FitzGerald Remix)";338;http://cs1-34v4.vk-cdn.net/p9/ed64a93b8d45f4.mp3?extra=ELZxdLc7Jaalu0tANWunNp53CeSuxohz6Ex5hTUIJW1xT3yrfspihWUxDL7UWGFCczfuqiQSESbk2FidRar375xdqfo;232802918;18
354669627;975;"Roosevelt ";Montreal;189;http://cs1-44v4.vk-cdn.net/p11/2b392d399fa0c9.mp3?extra=zcBVv347dyyohS-YmYZBgicd8Suv4xoyCFadwYACxcxFUJpCpgoPxm8QmkMhP8ZZvN1tqXYtrWHuhLUczmCQvZbuz6I;;9
354632622;975;"BLACK MONDAY";" Replica";310;http://cs611929.vk.me/u134397880/audios/f04bcb6b7f6a.mp3?extra=xeOzQM3F2xf03Rprf5lzFEnV_Wy_jzJTZVqI5rB8JNbLoV2RZ2Q_alyo5dLr9Pnnw7nVV69r6ZuFdz6tJn5qSQL7Id4;229696823;9
354587417;975;"Wes Borland";"I Have A Need";264;http://cs1-35v4.vk-cdn.net/p12/2777432d33d9f5.mp3?extra=e5SDBdGw-sbRNLRYalJFaAUop-jM-AUQNSI-3Z75zokvZw4JNu_30dU5Ua49vOUV5z8FxK9IKWSN4wY-ZV3U_DqofU4;36901596;1
354586728;975;"Travie McCoy";"Superbad (feat. Wes Borland)";192;http://cs1-16v4.vk-cdn.net/p33/d84eb1822915b7.mp3?extra=d_pibRS-RvVDaiLnW0oWernLTVl_ORCubHjd1Bb7nUvzEfsR7-dFSXDwmpM_UQvjTT5dfofbKY5fOMy83dbZkzoAkM4;6363424;3
354583701;975;"The Damning Well - Feat. Wes Borland, Richard Patrick, Josh Freese &amp; Danny Lohner";"Awakening (Underworld OST)";255;http://cs1-20v4.vk-cdn.net/p21/c4b443593a1038.mp3?extra=qHXzC0jL6eCNTO8sTdbDYsCSTXW5fwMsKkjI91M6X0on4TXCxw30HtXZL9pyLbLx2ZqPvuV9FlpZnZx6upzinRxLpn8;5225701;2
353265804;975;Propellerheads;"History Repeating (Featuring Miss Shirley Bassey)";241;http://cs1-41v4.vk-cdn.net/p4/816fc883f68957.mp3?extra=6UxHawojB9qy6HL64_FvnxjTyz83SlY_ZY_tePXAvck1PQaS-1HP0mcfUhHCujjxBulI2ZmppF0mZk0hn3GDgstmlfI;3851739;18
353248386;975;Dälek;"Ever Somber";289;http://cs1-35v4.vk-cdn.net/p9/4f7ac93919725b.mp3?extra=s2Q-nuSDqqODcNtYKhuvFeZ1Wm3c5M0oViIEt7dzwdws604hwib4J2tZfAHFoScl-0u96JFAiJH9_1HEwZdT3trwl0I;4206627;18
353023263;975;"Seven Lions &amp; Xilent";"The Fall";341;http://cs1-42v4.vk-cdn.net/p15/f18f30b21ff3df.mp3?extra=6jq3WsFdM8546Nnboktxm4p2dQa4VG0J39ZFadYws-8TfhztUpvOWfTltx3JghE3v2liZdxnjRX-imbYIBIxIqTZeWA;215193964;9
352790209;975;"Christian Burns &amp; BT";"The Enemy";358;http://cs536408.vk.me/u17258414/audios/9c110b2f9cbe.mp3?extra=P6gSZR6VYxZToFDxJ3KtxAO5CBTkYcNKcvIl3ueYZMUvjZVcGuqBMGjq87IpwIXi2wXioma7shcBQFBPNe_awjEYJkI;239799346;5
352698400;975;"Bat For Lashes";"Siren Song";298;http://cs1-41v4.vk-cdn.net/p14/fc167c968104c1.mp3?extra=jGz9VQoE9vDnMIrQI8-foaTuUqp9GsQuIE_2d6nFRN5ntELtOT6A7hITLYEtvzlu4zHf750zngb4d2fQxIhbipbquXs;6777025;21
352697619;975;"Beck And Bat For Lashes";"Let's Get Lost";250;http://cs1-38v4.vk-cdn.net/p10/1970028f1fffcb.mp3?extra=vLt-PxeHVpocgJL0TYg9NoqgsNSzo3wV24iPwd2NYqBI8YqdILf2daux2Hk8MCx7zmomf0bLjle6TCZ5IyPoYGeP4pQ;5467359;2
352674311;975;"St. Vincent ";"The Antidote";219;http://cs1-38v4.vk-cdn.net/p14/8d980b4d8a6771.mp3?extra=5E6TAGof0Vk_1o8L56enQIGXcaClXWP0GIbDCICTbL6cDFoNYZZiR6vGLmQEbrdb0ww_dC-NHPVXzwXyNR1Ote8SwrU;45937134;
352247845;975;Klo;"Make Me Wonder";278;http://cs1-20v4.vk-cdn.net/p28/24ca58b5cb335c.mp3?extra=mvRkUJBELCSNCY6iySXZ3Ldcn6V6zxCFyOheRYWCLv2JPzJR-s0jH2zZeJhDgtAnX4sdyknI2IlJu9Z8YNG94WgGZ80;;9
