ID;Owner;Artist;Title;Duration;URL;Lyrics;Genre
342238516;1783810;Триада;"Нежный омут";217;http://cs1-48v4.vk-cdn.net/p14/ac5c2d33f0bcfa.mp3?extra=VFrAUdKIY0LeylMnwF8KbT_6Z8uJcNB2VE_j7Owm15qi7Y3XfMLpxPQNU7pdlCdy1u56B-a2q-1BGALC5_46XGAJkVUmYLUB;6950907;18
337259375;1783810;,;"Все танцуют босеком на песке Open Kids – Stop people! *";319;http://cs1-19v4.vk-cdn.net/p1/bb99ae9b57be40.mp3?extra=WQk8T7rhTtRD4GqNxa9fYohJA_gESa0YjzrkJqjF2YTVKGbU3mO4usFzZWv0Iu0k_uGLnuHGCYKa6NLrkGxeT0IuWcpSvuUq;126158827;18
335609395;1783810;"Дима Карташов и Vitaly G";Мама;244;http://cs1-48v4.vk-cdn.net/p6/f7a805e54e8fd4.mp3?extra=N_sXeHc5TVBfmE62h8texWiTsWtaJOANFH7Bhbt8TIxbZCuOxR6evZ8woCBRyzhvwDNf9S1_Jhl-6D9vhS1UcuKEycSpjXLL;106079592;9
333115093;1783810;Виталя;"мало молодой ";228;http://cs1-51v4.vk-cdn.net/p14/5fcaf207b0f93d.mp3?extra=ngpcWdLUv7Ld5WzqYMw-vbaX8sQ5q7RyYzwAjQ0m5Whm4n-w1Lq6FWzagjWZjT2AiXmHSbSCOt3CtFImdDa4Da5zp0puKsaF;134949429;3
311617564;1783810;"Kerry Force  {""Icon"" 2014/1}";"Ты должен это знать   (-̮̮̃•̃)  {http://vk.com/club31487630 -ПАРТИЗАН-}";200;http://cs1-39v4.vk-cdn.net/p18/7c801873d0be95.mp3?extra=oGKXt5zP6k1z0o2hQGCax1nY4AS_mSYs6uLO1gz4XAD6N_tHyF-B7u7sVAU_RlafyZQsbNUw-DboYpYGhSKJU5gjCKueK34s;145171399;3
298676594;1783810;" Дима Карташов ft. Faaakt";"Отвернись (2014)";209;http://cs1-46v4.vk-cdn.net/p4/bb2eee8d1a71bf.mp3?extra=fLYD6OtE9i-d6x3UMR6ice66JIeHku2cz9qeBgyhuezaXtn3TBDJ-TuiEfkS6gvSVt5Aks2KcZveOxdiiKKsbIYoqUWAHaXM;174686872;
292277616;1783810;"Баста (Женя Мильковский)";"С Надеждой на Крылья (feat. Нервы)";328;http://cs1-32v4.vk-cdn.net/p4/26f2d6dbba0415.mp3?extra=QX2d7bNgLK81JdbGDToBC5zZUjHaRS5TG2D1GjzBVTDoKPyfq8-BJaSUi8zOI-yjYMxgOrrJWLIo6tbqDst5rAcyvReiqWvA;105582631;18
288863563;1783810;"Jambazi ft. FIKE Shohina ";"Выниму минимум мэн, выманю мам, выманю минимум мам,  Мэнам феноменам, фона бы нам стена бы фаном менам.  С Папалам имени видимо минимум даже самому синему в ум,  Не надо муму,сказали кому,не надо по минимуму...ФАЙК  Файк не на минимум, Папалам не на миним";197;http://cs1-50v4.vk-cdn.net/p9/f4b4f26f2597ff.mp3?extra=u6f_skbHVTPP9kDKlJS81RimPLol3wcI_iJ_eSJ9HtVnuFVB21Y__2_SAx8lwtsFLNCwOBPhFHEaaKe8vd0QLEEi4ZTl9skV;5853288;18
286752189;1783810;Баста;"И как бы далеко бы я ни был от тебя";277;http://cs1-49v4.vk-cdn.net/p8/4dbaddba4ecde0.mp3?extra=KY6406Kp1eT1Uy04CMinqe1Vjx8Zt7UhqneJm8CWymIpf4UZg8zzGBRQVwGOBCqiAFExsKZGJuadK_2HNRQ8SZbEpU9lY1La;45733048;
286703794;1783810;"Mind Vortex";Alive;180;http://cs1-49v4.vk-cdn.net/p18/8c6a45122f74b8.mp3?extra=RIWzoipgJxOZ6RRle4ofWLgOYYOzQNB83qfZf7mPMgE3WOiHMqFf5T9LIv6_WlX1Htl3WUNQ8J_7JsARAzy__np4oOnQ5t72;107807733;10
286703769;1783810;Avicii;"Addicted To You (Xristo Remix) [320kbps] http://vk.com/keeper";341;http://cs1-46v4.vk-cdn.net/p12/4c1eb2d850783d.mp3?extra=Y7uH-1kllR_BLVpteG5g_8vleqRBgXtTJsaB1rT7Ayoj6m9giVMseDiYFudrDVID5rMNyHzf7GG06g6A7YTLDJZDzbsR0mue;119285601;18
284752351;1783810;Johnyboy;"9. PVTHXLXGY [Новый Рэп]";208;http://cs1-50v4.vk-cdn.net/p22/f2aa99e97994d4.mp3?extra=neVX3LIzr2PPWOY8MN6z4zmUJM1fQIJJphXgruVPVDimk9aJCCve7fOEhkc42csgoFTXdcjJMDWM96wZvRJVeqB9HjL_xJ8x;164529681;3
284751318;1783810;Johnyboy;"16. Счастлив сейчас [Новый Рэп]";251;http://cs1-44v4.vk-cdn.net/p11/b47f136c821be2.mp3?extra=WiMlej3py0bJRUWjRJcpUBe8fdvXR4vZhK_C0G1dtaFJFvpGckZtZESHwSUAKstHBdHQdUL4e5VZgfSc2BPehT1aUyet9Rsd;164529432;3
278489368;1783810;"Linkin Park";"Given Up";189;http://cs1-51v4.vk-cdn.net/p2/a91c0716c0ab08.mp3?extra=8E4C117XWYKE8Q-3DsM3w0yj11laWw2kodTEfsxZhprByXGy2RyzeeX7TnaP5AfEk445MpThXgwIt285u2wk4NtM9awa5DEP;3338646;21
268981780;1783810;"Kerry Force";"Минутная слабость (NIKE prod.)";170;http://cs1-50v4.vk-cdn.net/p11/ca701a5bbb11ba.mp3?extra=spD8qKgHPQJwJwDFdg_ogeCyGbfxMugaT0Vle3HrT3BV1zAkn91UHcFes2zwsiYiZigSaQUNoCHrDe_joYELjGAO8pmZJWOB;12870427;18
266896026;1783810;H1dden;"Не отдам";230;http://cs1-40v4.vk-cdn.net/p6/d840baf81820ab.mp3?extra=vmKVqlwnwjBbdQvESGmI6B5WGE7GWOKeOV1FHQympoweMrvBlzXZaReLJdwkL_kweT6uwN-L37vy6hoXrFt1GGz_EwZEs5lt;;
266623081;1783810;"Shot, Kim Angeles";"Просто скажи [2014] ";206;http://cs1-46v4.vk-cdn.net/p3/15613a38703ec5.mp3?extra=5UNa1QOy0Yn9Rt8SezTqHkccHiNGSGc5Ji5fqYklDrTnBVJMsNBBiqtANDfrIzKEdfGY1eY34gCjQgtNY-0r0N0wVKYsop1N;153975017;3
178601964;1783810;Kempel;"Снова я тебя ненавижу, и твои фото сносят мою крышу";184;http://cs1-39v4.vk-cdn.net/p3/3e9937a2105833.mp3?extra=T0kCI5Ly45i1VvZ_aFcEcr9kkX_IvIwnJTyBbLCDY0081MDHawjmQ8yyo5LiVIgfzYOKSn27n-9LB8fpcp03giGKHxJpnHi_;17582437;18
