ID;Owner;Artist;Title;Duration;URL;Lyrics;Genre
299861733;436548;"Bill Conti";"Eye of the tiger(OST Рокки Бальбоа)";238;http://cs1-51v4.vk-cdn.net/p20/8bc40a5d2f23d3.mp3?extra=WCRwxAcU67y8PjKM2pWutm38tFCR39EanqQQZ1IlvFmLUpcJYPz6r56JirZORr4r5AHVgsVqlI8lkgxqEO4bO5VTdIlhch4;5838347;18
286237766;436548;"The Hardkiss";"Stones ";202;http://cs1-42v4.vk-cdn.net/p14/ddf63c698597e2.mp3?extra=xnbxhuPridEWzDt3B82B0p2qDkpCGaCbLtkurbD423iKUJsIYV0WvGRAJrdDpP93VifIGK65oNy_-FFf6cTSTb5ROzzgob0;173936519;9
285097395;436548;"Mireille Mathieu";"Pardonne Moi Ce Caprice D'enfant";203;http://cs1-32v4.vk-cdn.net/p17/aa81f8c2009bb8.mp3?extra=7cqBsDkHrkOFBSOkrCaUlRkwbr-F_vprfzKa_bbwCCk28Z1ltVY8kHq2P7_3LjGrYlEcyHMUcwWD-B1b8IU4akCiieSsm3c;6143318;2
205548077;436548;"Чиж и Ко. Вечная Молодость";"В коморке, что за актовым залом";175;http://cs1-40v4.vk-cdn.net/p8/e770ea0ff536e3.mp3?extra=PDiwvmDfErs0KzGkf4oXxtiZ-EMTPD86af5M1ioym64N6RwBXyhLWj43tLHITbQXy7KWJAj2PJfBbRQz7J1CxF4-K2HHMVI;3153711;18
170361413;436548;Ленинград;"Magic people! Voodoo people!";130;http://cs1-48v4.vk-cdn.net/p13/4266462b337017.mp3?extra=PkZU-xIWUQhJM47wJsA3vj5EseLF26KO7M4YUJCzAMeBUieeIqFlmOh8B6r2-1Gt7r4omokTt2sDVThw-sLNFDWbqqpQ8sY;6184971;1
170360846;436548;Чайф;"Не спеши ты нас хоронить";230;http://cs1-38v4.vk-cdn.net/p19/10c86eb7400387.mp3?extra=8Udx6Xu81atH3wVOK3Kwxx9_y7x7P3WQ13u6zvnA-KCPu02JabKPn1J8wbKxXZQT3tQfmK5g0mvK5Wigr6WvOJTppvA8nbY;1393906;18
160848072;436548;Ленинград;"Терминатор Немо";178;http://cs1-43v4.vk-cdn.net/p14/b9f93f5e9950ec.mp3?extra=SltEJOqBB-ur4kutVlbdoy-YX8hOduVl-w_XbFQMXqALUGi9UEhh3FxqEsCTBZ20ZfGFLOtCmzVwiZzQUBApJ_ISNwzxXK8;;18
161121960;436548;"April Stevens";"Love Kitten";130;http://cs1-21v4.vk-cdn.net/p30/4cf037439155fb.mp3?extra=u_J5DxswirwCfeFaHY8JIotbEz46pfLIcAkNNha_nSFv_FZlgJ8ADKSWc5zpuMlvYl7wsQjlirhdb6spFmlwd2zriufE84U;5626975;18
161121229;436548;"David Guetta";"The Alphabeat (Original Mix)";269;http://cs1-48v4.vk-cdn.net/p16/2d5643ae3d00a3.mp3?extra=lkrxSPr18ujlxd3a3ONs5GPqKCfw9P10cAb27lLtnnhdErEFTrCHZNZcEzr-JubCvdkvZY6Mk4bpoENC0EHW0jRMkySS55Y;17685766;18
160481785;436548;"william feat. eva simons";"this is love";282;http://cs1-48v4.vk-cdn.net/p6/dc693a5a59f9bc.mp3?extra=6qLkQJOa_dBIga1jxh-nIS_HuvBmnzvqtOTYs2b9haMZ3Kk53zy119ggZHNWyYuF1-eaei7JyQR7aaDoJuWZ8mgFuDurJiI;25460914;18
